location,week_start,iso_code,location_type,pandemic_period,year,quarter,month,iso_week,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,mobility_restriction_index
United Kingdom,2020-04-13,GB,main_country,2020-2022,2020,2,4,16,-75.71428571428571,-32.57142857142857,-19.428571428571427,-70.57142857142857,-66.0,25.0,-70.76190476190477
United Kingdom,2020-04-20,GB,main_country,2020-2022,2020,2,4,17,-73.71428571428571,-29.714285714285715,-4.285714285714286,-66.28571428571429,-61.42857142857143,23.428571428571427,-67.14285714285714
United Kingdom,2020-04-27,GB,main_country,2020-2022,2020,2,4,18,-74.42857142857143,-30.571428571428573,-24.0,-67.0,-60.285714285714285,23.142857142857142,-67.23809523809524
United Kingdom,2020-05-04,GB,main_country,2020-2022,2020,2,5,19,-72.57142857142857,-26.142857142857142,1.4285714285714286,-64.28571428571429,-60.57142857142857,22.857142857142858,-65.80952380952381
United Kingdom,2020-05-11,GB,main_country,2020-2022,2020,2,5,20,-69.57142857142857,-23.857142857142858,12.285714285714286,-60.285714285714285,-55.42857142857143,21.0,-61.76190476190476
United Kingdom,2020-05-18,GB,main_country,2020-2022,2020,2,5,21,-66.28571428571429,-19.428571428571427,35.142857142857146,-57.142857142857146,-53.0,19.857142857142858,-58.80952380952381
United Kingdom,2020-05-25,GB,main_country,2020-2022,2020,2,5,22,-63.285714285714285,-15.857142857142858,75.14285714285714,-53.142857142857146,-52.142857142857146,18.857142857142858,-56.19047619047619
United Kingdom,2020-06-01,GB,main_country,2020-2022,2020,2,6,23,-62.57142857142857,-18.0,26.428571428571427,-54.142857142857146,-47.0,18.285714285714285,-54.57142857142857
United Kingdom,2020-06-08,GB,main_country,2020-2022,2020,2,6,24,-60.42857142857143,-17.714285714285715,32.285714285714285,-53.57142857142857,-43.142857142857146,17.285714285714285,-52.38095238095239
United Kingdom,2020-06-15,GB,main_country,2020-2022,2020,2,6,25,-52.857142857142854,-13.428571428571429,37.714285714285715,-49.714285714285715,-40.857142857142854,15.857142857142858,-47.80952380952381
United Kingdom,2020-06-22,GB,main_country,2020-2022,2020,2,6,26,-51.0,-11.428571428571429,61.0,-47.714285714285715,-41.42857142857143,15.0,-46.714285714285715
United Kingdom,2020-06-29,GB,main_country,2020-2022,2020,2,6,27,-47.42857142857143,-13.571428571428571,30.714285714285715,-46.42857142857143,-38.857142857142854,14.285714285714286,-44.23809523809524
United Kingdom,2020-07-06,GB,main_country,2020-2022,2020,3,7,28,-41.57142857142857,-12.285714285714286,62.0,-40.0,-37.142857142857146,12.142857142857142,-39.57142857142857
United Kingdom,2020-07-13,GB,main_country,2020-2022,2020,3,7,29,-34.714285714285715,-12.0,73.28571428571429,-40.714285714285715,-36.42857142857143,11.285714285714286,-37.285714285714285
United Kingdom,2020-07-20,GB,main_country,2020-2022,2020,3,7,30,-31.0,-12.0,85.42857142857143,-40.142857142857146,-37.0,10.857142857142858,-36.04761904761905
United Kingdom,2020-07-27,GB,main_country,2020-2022,2020,3,7,31,-28.0,-11.571428571428571,93.14285714285714,-37.714285714285715,-38.0,10.142857142857142,-34.57142857142857
United Kingdom,2020-08-03,GB,main_country,2020-2022,2020,3,8,32,-23.428571428571427,-12.571428571428571,102.71428571428571,-37.57142857142857,-37.57142857142857,9.142857142857142,-32.857142857142854
United Kingdom,2020-08-10,GB,main_country,2020-2022,2020,3,8,33,-21.428571428571427,-12.571428571428571,86.14285714285714,-38.57142857142857,-37.142857142857146,9.571428571428571,-32.38095238095239
United Kingdom,2020-08-17,GB,main_country,2020-2022,2020,3,8,34,-19.571428571428573,-14.142857142857142,72.28571428571429,-38.142857142857146,-35.57142857142857,9.285714285714286,-31.095238095238095
