location,week_start,new_cases,new_deaths,new_tests,new_vaccinations,new_cases_per_million_calc,new_deaths_per_million_calc,new_cases_7d_avg,new_deaths_7d_avg,new_cases_per_million_7d_avg,new_deaths_per_million_7d_avg,new_cases_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed,new_deaths_smoothed_per_million,hosp_patients,hosp_patients_per_million,icu_patients,icu_patients_per_million,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,reproduction_rate,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,iso_code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index,location_type,pandemic_period,year,quarter,month,iso_week
World,2024-12-09,54139.0,749.0,,,0.9641877875243148,0.013339305359458278,7704.734693877551,105.46938775510205,0.9605215775256555,0.013148489433087995,7704.734757142857,0.9682426128571429,105.46938571428572,0.013254181928571428,,,,,,,,,,,,,,,777139951.0,7079563.0,97662.03,889.6782,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,4,12,50
World,2024-12-16,48419.0,838.0,,,0.8623175249661018,0.014924349654507393,6939.408163265306,119.38775510204083,0.8651110701281645,0.014883642256881728,6939.408142857143,0.87206517,119.3877542857143,0.015003282857142858,,,,,,,,,,,,,,,777189179.0,7080405.0,97668.21,889.784,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,4,12,51
World,2024-12-23,35865.0,868.0,,,0.6387372319318707,0.015458634248344174,5283.428571428572,122.20408163265306,0.6586660472819842,0.015234743561403042,5283.428571428572,0.6639606542857143,122.20408428571429,0.015357206357142857,,,,,,,,,,,,,,,777225829.0,7081276.0,97672.82,889.8935,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,4,12,52
World,2024-12-30,41810.0,1218.0,,,0.7446146289438593,0.02169195450977327,5737.612244897959,167.3877551020408,0.715287493166925,0.020867629707853663,5737.6122857142855,0.72103725,167.38775857142858,0.021035371714285715,,,,,,,,,,,,,,,777267642.0,7082497.0,97678.08,890.04694,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,4,12,1
World,2025-01-06,49271.0,1378.0,,,0.8774912074310665,0.024541472343569435,6898.632653061225,193.71428571428572,0.8600277338496601,0.02414966364142246,6898.632614285714,0.8669409657142857,193.71429285714285,0.024343787857142855,,,,,,,,,,,,,,,777317652.0,7083879.0,97684.36,890.2206,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2025,1,1,2
World,2025-01-13,42493.0,1320.0,,,0.7567785081968766,0.023508522128818328,6138.122448979592,190.22448979591837,0.7652176605671478,0.02371460332929822,6138.1224142857145,0.7713687814285715,190.22449,0.023905229857142857,,,,,,,,,,,,,,,777360691.0,7085201.0,97689.766,890.3867,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2025,1,1,3
World,2025-01-20,38051.0,1192.0,,,0.6776687693361108,0.021228907861781394,5446.224489795918,171.10204081632654,0.6789612292107271,0.021330676355845537,5446.224542857143,0.6844189828571429,171.1020457142857,0.021502140571428574,,,,,,,,,,,,,,,777399229.0,7086395.0,97694.61,890.5368,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2025,1,1,4
World,2025-01-27,35420.0,1106.0,,,0.6308120104566252,0.01969729202611596,5091.816326530613,158.91836734693877,0.6347784375127771,0.019811781581938116,5091.816328571428,0.6398810342857143,158.91836714285714,0.019971036,,,,,,,,,,,,,,,777435028.0,7087505.0,97699.11,890.6763,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2025,1,1,5
World,2025-02-03,35689.0,1001.0,,,0.6356027623146948,0.01782729594768723,5053.224489795918,145.12244897959184,0.6299673319558944,0.01809189403225401,5053.224542857142,0.6350312385714286,145.12245000000001,0.018237324857142856,,,,,,,,,,,,,,,777471075.0,7088507.0,97703.64,890.8022,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2025,1,2,6
World,2025-02-10,40419.0,902.0,,,0.719841633276294,0.016064156788025856,5655.306122448979,130.81632653061226,0.7050266847529072,0.016308401173779807,5655.306214285715,0.7106939500000001,130.81633285714284,0.016439494571428574,,,,,,,,,,,,,,,777511777.0,7089412.0,97708.76,890.9159,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2025,1,2,7
