location,week_start,iso_code,country_reference,location_type,year,quarter,month,iso_week,pandemic_period,ukhsa_covid_deaths_weekly,ukhsa_hospital_admissions_weekly_sum,ukhsa_occupied_beds_weekly_avg,ukhsa_pcr_tests_weekly_sum,ukhsa_pcr_positivity_weekly_avg
England,2021-12-27,ENG,United Kingdom,england_detail,2021,4,12,52,2020-2022,557.0,13798.0,11156.42857142857,22428815.0,29.745714285714286
England,2022-01-03,ENG,United Kingdom,england_detail,2022,1,1,1,2020-2022,857.0,14111.0,15652.42857142857,26104670.0,30.65142857142857
England,2022-01-10,ENG,United Kingdom,england_detail,2022,1,1,2,2020-2022,1308.0,13242.0,16692.285714285714,19625863.0,22.665714285714284
England,2022-01-17,ENG,United Kingdom,england_detail,2022,1,1,3,2020-2022,1378.0,11343.0,15343.142857142857,15374561.0,17.07
England,2022-01-24,ENG,United Kingdom,england_detail,2022,1,1,4,2020-2022,1323.0,10418.0,13625.142857142857,14535231.0,16.39
England,2022-01-31,ENG,United Kingdom,england_detail,2022,1,1,5,2020-2022,1162.0,9205.0,12341.714285714286,13744078.0,14.622857142857143
England,2022-02-07,ENG,United Kingdom,england_detail,2022,1,2,6,2020-2022,1025.0,7901.0,10773.142857142857,12619461.0,11.79857142857143
England,2022-02-14,ENG,United Kingdom,england_detail,2022,1,2,7,2020-2022,814.0,7072.0,9599.857142857143,9672632.0,10.49
England,2022-02-21,ENG,United Kingdom,england_detail,2022,1,2,8,2020-2022,722.0,6644.0,8670.0,7208396.0,10.587142857142856
England,2022-02-28,ENG,United Kingdom,england_detail,2022,1,2,9,2020-2022,621.0,8020.0,8420.142857142857,6444125.0,11.338571428571429
England,2022-03-07,ENG,United Kingdom,england_detail,2022,1,3,10,2020-2022,628.0,9973.0,9342.57142857143,6704242.0,16.181428571428572
England,2022-03-14,ENG,United Kingdom,england_detail,2022,1,3,11,2020-2022,650.0,12247.0,11301.714285714286,7610546.0,20.66
England,2022-03-21,ENG,United Kingdom,england_detail,2022,1,3,12,2020-2022,734.0,14056.0,13538.0,7843363.0,22.794285714285714
England,2022-03-28,ENG,United Kingdom,england_detail,2022,1,3,13,2020-2022,789.0,14753.0,15650.714285714286,7334141.0,21.16142857142857
England,2022-04-04,ENG,United Kingdom,england_detail,2022,2,4,14,2020-2022,903.0,13892.0,16355.142857142857,5227138.0,12.168571428571427
England,2022-04-11,ENG,United Kingdom,england_detail,2022,2,4,15,2020-2022,951.0,11523.0,15130.0,3929257.0,8.714285714285714
England,2022-04-18,ENG,United Kingdom,england_detail,2022,2,4,16,2020-2022,970.0,8875.0,13352.57142857143,3333268.0,7.218571428571429
England,2022-04-25,ENG,United Kingdom,england_detail,2022,2,4,17,2020-2022,1056.0,6653.0,10500.142857142857,3350165.0,5.374285714285714
England,2022-05-02,ENG,United Kingdom,england_detail,2022,2,5,18,2020-2022,690.0,5368.0,8538.285714285714,2980085.0,4.301428571428572
