location,date,variant,variant_percent,iso_code,country_reference,location_type,year,quarter,month,iso_week,week_start,pandemic_period
England,2021-12-20,Other,0.33,ENG,United Kingdom,england_detail,2021,4,12,51,2021-12-20,2020-2022
England,2021-12-27,Alpha,0.0,ENG,United Kingdom,england_detail,2021,4,12,52,2021-12-27,2020-2022
England,2021-12-27,Delta,3.91,ENG,United Kingdom,england_detail,2021,4,12,52,2021-12-27,2020-2022
England,2021-12-27,Omicron BA.1,94.42,ENG,United Kingdom,england_detail,2021,4,12,52,2021-12-27,2020-2022
England,2021-12-27,Omicron BA.2,1.36,ENG,United Kingdom,england_detail,2021,4,12,52,2021-12-27,2020-2022
England,2021-12-27,Omicron BA.4,0.0,ENG,United Kingdom,england_detail,2021,4,12,52,2021-12-27,2020-2022
England,2021-12-27,Omicron BA.5,0.01,ENG,United Kingdom,england_detail,2021,4,12,52,2021-12-27,2020-2022
England,2021-12-27,Other,0.3,ENG,United Kingdom,england_detail,2021,4,12,52,2021-12-27,2020-2022
England,2022-01-03,Alpha,0.0,ENG,United Kingdom,england_detail,2022,1,1,1,2022-01-03,2020-2022
England,2022-01-03,Delta,1.83,ENG,United Kingdom,england_detail,2022,1,1,1,2022-01-03,2020-2022
England,2022-01-03,Omicron BA.1,96.08,ENG,United Kingdom,england_detail,2022,1,1,1,2022-01-03,2020-2022
England,2022-01-03,Omicron BA.2,1.72,ENG,United Kingdom,england_detail,2022,1,1,1,2022-01-03,2020-2022
England,2022-01-03,Omicron BA.2.75,0.0,ENG,United Kingdom,england_detail,2022,1,1,1,2022-01-03,2020-2022
England,2022-01-03,Omicron BA.4,0.0,ENG,United Kingdom,england_detail,2022,1,1,1,2022-01-03,2020-2022
England,2022-01-03,Omicron BA.5,0.01,ENG,United Kingdom,england_detail,2022,1,1,1,2022-01-03,2020-2022
England,2022-01-03,Other,0.35,ENG,United Kingdom,england_detail,2022,1,1,1,2022-01-03,2020-2022
