location,iso_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,year,quarter,month,iso_week,week_start,pandemic_period,location_type,mobility_restriction_index
United Kingdom,GB,2020-06-06,-70.0,-22.0,-17.0,-57.0,-33.0,14.0,2020,2,6,23,2020-06-01,2020-2022,main_country,-53.333333333333336
United Kingdom,GB,2020-06-07,-67.0,-23.0,22.0,-51.0,-28.0,10.0,2020,2,6,23,2020-06-01,2020-2022,main_country,-48.666666666666664
United Kingdom,GB,2020-06-08,-56.0,-17.0,44.0,-54.0,-52.0,19.0,2020,2,6,24,2020-06-08,2020-2022,main_country,-54.0
United Kingdom,GB,2020-06-09,-58.0,-17.0,56.0,-53.0,-52.0,20.0,2020,2,6,24,2020-06-08,2020-2022,main_country,-54.333333333333336
United Kingdom,GB,2020-06-10,-61.0,-19.0,-1.0,-58.0,-52.0,21.0,2020,2,6,24,2020-06-08,2020-2022,main_country,-57.0
United Kingdom,GB,2020-06-11,-59.0,-17.0,15.0,-58.0,-52.0,21.0,2020,2,6,24,2020-06-08,2020-2022,main_country,-56.333333333333336
United Kingdom,GB,2020-06-12,-61.0,-17.0,6.0,-57.0,-51.0,21.0,2020,2,6,24,2020-06-08,2020-2022,main_country,-56.333333333333336
United Kingdom,GB,2020-06-13,-65.0,-17.0,41.0,-49.0,-24.0,11.0,2020,2,6,24,2020-06-08,2020-2022,main_country,-46.0
United Kingdom,GB,2020-06-14,-63.0,-20.0,65.0,-46.0,-19.0,8.0,2020,2,6,24,2020-06-08,2020-2022,main_country,-42.666666666666664
United Kingdom,GB,2020-06-15,-46.0,-14.0,63.0,-50.0,-50.0,18.0,2020,2,6,25,2020-06-15,2020-2022,main_country,-48.666666666666664
United Kingdom,GB,2020-06-16,-50.0,-13.0,53.0,-51.0,-50.0,19.0,2020,2,6,25,2020-06-15,2020-2022,main_country,-50.333333333333336
United Kingdom,GB,2020-06-17,-52.0,-14.0,34.0,-52.0,-50.0,19.0,2020,2,6,25,2020-06-15,2020-2022,main_country,-51.333333333333336
United Kingdom,GB,2020-06-18,-54.0,-15.0,8.0,-56.0,-52.0,20.0,2020,2,6,25,2020-06-15,2020-2022,main_country,-54.0
United Kingdom,GB,2020-06-19,-53.0,-11.0,20.0,-52.0,-50.0,19.0,2020,2,6,25,2020-06-15,2020-2022,main_country,-51.666666666666664
United Kingdom,GB,2020-06-20,-57.0,-10.0,49.0,-43.0,-20.0,9.0,2020,2,6,25,2020-06-15,2020-2022,main_country,-40.0
United Kingdom,GB,2020-06-21,-58.0,-17.0,37.0,-44.0,-14.0,7.0,2020,2,6,25,2020-06-15,2020-2022,main_country,-38.666666666666664
United Kingdom,GB,2020-06-22,-45.0,-13.0,72.0,-49.0,-51.0,17.0,2020,2,6,26,2020-06-22,2020-2022,main_country,-48.333333333333336
United Kingdom,GB,2020-06-23,-48.0,-10.0,90.0,-48.0,-51.0,17.0,2020,2,6,26,2020-06-22,2020-2022,main_country,-49.0
United Kingdom,GB,2020-06-24,-49.0,-8.0,98.0,-47.0,-49.0,17.0,2020,2,6,26,2020-06-22,2020-2022,main_country,-48.333333333333336
United Kingdom,GB,2020-06-25,-49.0,-6.0,102.0,-47.0,-49.0,17.0,2020,2,6,26,2020-06-22,2020-2022,main_country,-48.333333333333336
United Kingdom,GB,2020-06-26,-51.0,-9.0,50.0,-48.0,-49.0,18.0,2020,2,6,26,2020-06-22,2020-2022,main_country,-49.333333333333336
United Kingdom,GB,2020-06-27,-59.0,-15.0,-7.0,-49.0,-24.0,11.0,2020,2,6,26,2020-06-22,2020-2022,main_country,-44.0
United Kingdom,GB,2020-06-28,-56.0,-19.0,22.0,-46.0,-17.0,8.0,2020,2,6,26,2020-06-22,2020-2022,main_country,-39.666666666666664
United Kingdom,GB,2020-06-29,-45.0,-14.0,22.0,-50.0,-49.0,17.0,2020,2,6,27,2020-06-29,2020-2022,main_country,-48.0
United Kingdom,GB,2020-06-30,-45.0,-12.0,34.0,-50.0,-48.0,17.0,2020,2,6,27,2020-06-29,2020-2022,main_country,-47.666666666666664
United Kingdom,GB,2020-07-01,-47.0,-13.0,34.0,-49.0,-48.0,17.0,2020,3,7,27,2020-06-29,2020-2022,main_country,-48.0
United Kingdom,GB,2020-07-02,-47.0,-11.0,39.0,-49.0,-48.0,17.0,2020,3,7,27,2020-06-29,2020-2022,main_country,-48.0
United Kingdom,GB,2020-07-03,-49.0,-12.0,20.0,-49.0,-47.0,18.0,2020,3,7,27,2020-06-29,2020-2022,main_country,-48.333333333333336
United Kingdom,GB,2020-07-04,-51.0,-15.0,13.0,-41.0,-18.0,8.0,2020,3,7,27,2020-06-29,2020-2022,main_country,-36.666666666666664
