week_start,cases,future_deaths,pandemic_period,cases_log1p,week_start_label
2023-01-09,54.78051457665237,1.5607103601041772,2023-2026,4.021424607267089,2023-01-09
2023-01-16,33.128427139342115,1.2033094836246243,2023-2026,3.5301306774541805,2023-01-16
2023-01-23,31.5410763453965,1.0623247157671123,2023-2026,3.4825031788528285,2023-01-23
2023-01-30,40.062722536767005,1.0042545566071182,2023-2026,3.7151007156947897,2023-01-30
2023-02-06,47.142193332091885,0.9979686115434072,2023-2026,3.8741589928478137,2023-02-06
2023-02-13,53.549068005599715,1.082379873827523,2023-2026,3.9991006269928837,2023-02-13
2023-02-20,60.18942063861679,1.160205860330608,2023-2026,4.113974309193259,2023-02-20
2023-02-27,56.44060273490664,1.3407022828743018,2023-2026,4.050751417980643,2023-02-27
2023-03-06,59.44348849105644,1.4305014980701691,2023-2026,4.101708853989342,2023-03-06
2023-03-13,67.1623296985759,1.513416106767687,2023-2026,4.221892061786941,2023-03-13
2023-03-20,67.7789509762542,1.5400565406091276,2023-2026,4.2308977530159595,2023-03-20
2023-03-27,59.64523739452983,1.295802675276368,2023-2026,4.105041106247862,2023-03-27
2023-04-03,43.10541927832031,1.2179766887732828,2023-2026,3.7865826610326305,2023-04-03
2023-04-10,32.20918250645376,1.1111156226902004,2023-2026,3.5028264192005167,2023-04-10
2023-04-17,29.194024190893845,0.9776141227656776,2023-2026,3.407644030327374,2023-04-17
2023-04-24,24.849538159717778,0.7785591957481712,2023-2026,3.2522927346330484,2023-04-24
2023-05-01,23.6959175751682,0.69803923278921,2023-2026,3.206637949616065,2023-05-01
2023-05-08,20.728352843662098,0.5995594267910753,2023-2026,3.07861799036732,2023-05-08
2023-05-15,17.10555317194348,0.5477752126947918,2023-2026,2.896218696296476,2023-05-15
2023-05-22,14.912357006143074,0.4636632811279959,2023-2026,2.767095977583483,2023-05-22
2023-05-29,12.179467557015508,0.3885312710807866,2023-2026,2.5786601304598284,2023-05-29
2023-06-05,10.70885574282452,0.3681767823030567,2023-2026,2.4603454565946494,2023-06-05
2023-06-12,8.843127381771712,0.3098072924257428,2023-2026,2.2867734839198035,2023-06-12
2023-06-19,6.520321015371939,0.2188107543605971,2023-2026,2.017608825264986,2023-06-19
2023-06-26,5.1266371955320755,0.1879796904766826,2023-2026,1.8126460179429775,2023-06-26
2023-07-03,4.674348481662222,0.1403861064228728,2023-2026,1.7359557517834276,2023-07-03
