theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-08-09,208.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-08-02,203.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-07-26,182.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-07-19,217.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-07-12,204.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-07-05,166.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-06-28,186.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-06-21,149.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-06-14,158.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-06-07,146.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-05-31,112.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-05-24,147.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-05-17,168.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-05-10,93.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-05-03,103.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-04-26,118.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-04-19,116.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-04-12,108.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-04-05,107.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-03-29,110.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-03-22,138.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-03-15,122.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-03-08,168.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-03-01,196.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-02-23,226.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-02-16,255.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-02-09,316.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-02-02,331.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-01-26,341.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-01-19,374.0000,False
